N,D,m,a,e
12,46,3,6,2
14,37,0,4,0
40,41,6,17,3
32,6,9,9,7
48,31,12,0,5
1,31,0,0,1
16,15,4,3,4
20,2,1,6,11
30,45,11,2,12
32,18,4,4,1
40,50,19,3,1
19,14,6,12,0
29,47,12,4,10
15,44,3,9,1
1,25,1,0,0
50,32,29,0,18
18,29,7,8,1
18,28,2,1,3
42,25,9,0,4
33,18,8,3,2
26,43,9,8,5
45,12,6,8,9
16,35,6,1,7
28,22,8,2,14
28,24,21,6,0
34,11,0,11,16
20,19,0,2,12
10,21,0,8,0
12,11,10,0,0
1,2,0,1,0
23,29,1,12,1
4,21,1,1,2
6,42,2,1,3
4,36,0,1,1
40,42,12,15,5
25,29,1,0,17
10,32,2,1,7
20,35,12,1,7
50,10,27,16,0
12,32,9,2,0
44,15,4,16,8
27,14,0,23,4
28,45,1,5,7
20,20,3,9,1
44,18,5,14,21
12,30,0,0,11
50,45,3,18,3
18,7,9,7,0
13,19,0,9,3
8,23,2,1,1
25,34,5,4,10
9,33,1,5,0
21,3,1,8,1
28,22,14,6,2
37,43,15,9,5
30,46,6,17,2
38,22,9,0,24
49,16,1,10,14
38,44,10,16,4
17,2,4,3,7
33,3,0,4,17
31,12,1,0,2
26,23,9,3,6
34,25,3,0,21
28,49,1,2,19
43,44,22,1,1
25,38,5,8,6
45,49,7,9,20
36,13,15,13,6
9,21,2,2,4
46,43,14,0,6
7,3,0,2,4
30,47,3,15,5
26,38,2,20,4
1,22,0,1,0
8,3,0,0,1
39,29,5,3,6
38,41,14,4,5
41,22,19,6,1
27,35,0,11,1
46,7,5,11,3
5,31,0,2,3
1,41,0,0,1
15,16,1,7,0
50,41,3,18,23
46,44,4,14,18
45,17,15,1,27
27,12,5,13,3
17,26,7,6,1
19,10,10,0,3
35,3,2,9,0
29,49,4,1,0
1,7,0,0,1
39,46,8,6,17
26,18,5,13,6
14,3,1,1,8
33,9,0,1,10
46,4,15,4,15
8,12,1,2,0
29,18,8,4,2
